Method,Upgrade Ratio,Mean ADD,Mean ADD-S,SR@ADD<=0.02,Mean Rotation Error (deg),Mean Registration Time (s),Mean Front-end Time (s),Mean Back-end Time (s)
No RS-MRQ,0.0,0.0059110683656214465,0.0013088680292359255,0.9074074074074074,11.99764485958408,4.556609281481205,4.071422418518658,0.4380235870373023
Adaptive Two-Stage,0.6481481481481481,0.005093350912246681,0.001079318216989404,0.9259259259259259,11.10629701303232,22.47202234814813,21.651829909259067,0.7443177833333552
Ours (Full),0.0,0.005050490508524356,0.0010650272499079512,0.9259259259259259,11.226127684558021,30.35981753148149,29.79456110000001,0.5177135537036924
