idx,scene_name,scene_variant,obj_id,ADD,rotation_error_deg,registration_time,ppf_frontend_time,adaptive_used_upgrade,adaptive_trigger_reason
15,Scene5,0.1,6,0.0005800257260690709,0.5214835151280492,28.70764549999967,28.137488000000303,False,
48,Scene16,0.1,5,0.0011319289828193469,0.6338300105228996,31.94575729999997,31.387137699999585,False,
17,Scene5,0.5,6,0.0012341626388057399,2.620463817785149,29.13389410000036,28.545256600000357,False,
24,Scene8,0.1,2,0.0012451172745874925,1.1858736825542187,23.789172299999336,23.21834510000008,False,
42,Scene14,0.1,4,0.0012975786368794049,1.9641261626246977,30.51673590000064,30.071187700001246,False,
32,Scene10,0.5,4,0.0013055890819170016,1.4711067391760384,29.461573300000964,28.88271199999872,False,
45,Scene15,0.1,6,0.001311484004762581,1.7012165979679068,28.824524899999233,28.269499899999573,False,
3,Scene1,0.1,2,0.001526864437647078,1.3441410489800427,25.473067599999922,24.875175399999534,False,
12,Scene4,0.1,5,0.0017511647020938992,3.568294764247498,29.319165099999736,28.651356899999882,False,
5,Scene1,0.5,2,0.002325158879290214,1.8339825997798391,27.599011500000415,27.075103600000148,False,
40,Scene13,0.3,2,0.0024174540528724884,2.308309563567282,27.129395300000397,26.610798499999873,False,
4,Scene1,0.3,2,0.0028164146679318974,1.4888867333227578,25.202997200000027,24.58816299999944,False,
26,Scene8,0.5,2,0.003246595976339487,2.6540884455199856,25.042501599999923,24.520269200000257,False,
25,Scene8,0.3,2,0.003970858148771331,3.4104774583817163,25.731279100000393,25.2253982000002,False,
13,Scene4,0.3,5,0.005892913008763758,3.903993389953528,28.421798900000795,27.919158800000332,False,
29,Scene9,0.5,2,0.006600501643251924,6.187007304788473,26.13105589999941,25.465650899999673,False,
41,Scene13,0.5,2,0.006948798253743944,5.8546787341141115,26.96523789999992,26.484357999999702,False,
