method,obj_id,n_results,ADD_mean,ADD_median,ADD_std,ADD_S_mean,ADD_S_median,ADD_S_std,rotation_error_deg_mean,rotation_error_deg_median,rotation_error_deg_std,translation_error_mean,translation_error_median,translation_error_std,inlier_ratio_mean,inlier_ratio_median,inlier_ratio_std,model_build_time_mean,model_build_time_median,model_build_time_std,registration_time_mean,registration_time_median,registration_time_std,total_time_mean,total_time_median,total_time_std,candidate_inflation_mean_mean,candidate_inflation_mean_median,candidate_inflation_mean_std,kde_refine_calls_mean,kde_refine_calls_median,kde_refine_calls_std,ADD_S_lt_2_count,ADD_S_lt_2_rate,ADD_S_lt_5_count,ADD_S_lt_5_rate,ADD_S_lt_10_count,ADD_S_lt_10_rate,ADD_S_lt_20_count,ADD_S_lt_20_rate,throughput_cases_per_hour
baseline,6,500,72.85587765789724,77.82222897241641,27.024580643358107,22.5643752577031,20.355119732971726,12.705448626764905,114.45658036097034,125.03634560477454,50.91339610719909,44.52337630057133,42.94413191152391,25.41128767171799,0.10562534789124385,0.10169128666238493,0.060192223083157095,2.9267139084637166,2.9108478017151356,0.055136309889424265,31.27446274545789,35.676873318850994,15.462149952867664,34.20296059207618,38.598305247724056,15.46332471592244,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,9,0.018,60,0.12,242,0.484,105.25404636562409
ours,6,500,37.046801416790466,15.094171467959601,35.327339387236464,11.605437104965375,6.335734475466274,12.082920503864425,56.97357551817141,16.932660496568722,63.44588957704549,22.398579925606285,10.643436442804722,24.425805426186376,0.20953714408049667,0.22104474416613146,0.1180683126640796,4.85640295688808,4.845551796257496,0.2817649591404846,4.276189433142543,4.341915167868137,1.369523589859443,9.134672120422126,9.212038908153772,1.3901763260701079,21.47012003315991,21.906411021012772,2.605636104807755,0.0,0.0,0.0,4,0.008,190,0.38,313,0.626,414,0.828,394.10281535465106
ours_no_pose_pipeline,6,500,59.57827620718448,66.49643572517546,33.3365457485734,18.55204565736222,17.16881338667011,13.387006271872538,92.55134734208606,97.96964918837647,60.2933989735107,36.01980938448317,32.04279434885048,26.25979250393113,0.1317426675230143,0.11956754442303576,0.07356189836180861,4.673798576369881,4.665056150406599,0.21450917675050496,3.3925550812631844,3.4043945111334324,1.2130893372372729,8.068203628122806,8.102246318012476,1.2238142944544697,21.47012003315991,21.906411021012772,2.605636104807755,0.0,0.0,0.0,0,0.0,32,0.064,149,0.298,307,0.614,446.1959769398627
ours_no_robustvote,6,500,37.19845186068851,15.127484339906085,35.30066196403075,11.600168887298198,6.325169645792627,12.060412915424452,57.5004309557094,17.769727429333727,63.65219601357197,22.489201196210924,10.47961704775797,24.480069944136417,0.20942795975165915,0.22029543994861914,0.11839444725167438,4.917021141022444,4.900983266532421,0.24234608194969215,2.3303622154891492,2.364041078835726,0.6435464316144613,7.249675817027688,7.28770038485527,0.6667351736990699,21.47012003315991,21.906411021012772,2.605636104807755,0.0,0.0,0.0,4,0.008,187,0.374,312,0.624,417,0.834,496.57392838787274
ours_no_rsmrq,6,500,45.9527594091891,36.68032022818822,36.53141673192098,13.868731678171025,9.587156176053783,13.910535977368124,75.39080642626222,50.03802369278446,65.58472247173277,27.174550445796566,15.112477447430507,27.720498794752768,0.1901365874545065,0.1859344894026975,0.10814860831165655,3.7620963070988656,3.7436723113059998,0.23368283521327154,1.9344786097705364,1.9692951999604702,0.4649720653486668,5.698896863758564,5.726666785776615,0.5184244000870178,1.0,1.0,0.0,0.0,0.0,0.0,4,0.008,128,0.256,258,0.516,397,0.794,631.7012021912099
baseline,8,500,109.60200749985917,117.4159028473631,42.593752602644344,30.93280141762793,35.709241600750175,15.660066587572912,132.48583835691727,166.03926267762986,59.567371300857005,70.68176261810574,66.25124869368321,41.87581355873243,0.14295741556534508,0.14806656877141458,0.049804256977373576,15.273025197312236,15.24617663770914,0.16891923805226744,199.42815139976145,196.91243213787675,34.30438864855741,214.70443211576344,212.16773867979646,34.30341333437927,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,8,0.016,51,0.102,152,0.304,16.76723654246209
ours,8,500,73.11534385559547,102.83936410995167,52.82714811716206,19.661183711583377,14.205481735698953,15.356854430459281,92.12544577197085,106.7002997742402,76.80873754370091,43.842185620812145,21.534133809023864,43.76473825194387,0.20969593734703867,0.2067547723935389,0.07086006704875696,26.7813634827286,26.746307227760553,0.6434557080100045,7.065308578535914,6.7965784929692745,1.4365007944045707,33.850457572311164,33.62026713043451,1.424423049375178,59.36412675040545,60.178069508916025,5.192947139449768,0.0,0.0,0.0,4,0.008,110,0.22,197,0.394,304,0.608,106.35011335695239
ours_no_pose_pipeline,8,500,91.70223325620313,106.7606328792058,48.78435001607656,24.473651723645265,21.10964751413154,14.590555540629573,114.5361161587385,155.67754593569427,70.59685144822404,56.75665383065278,44.467313335022226,42.98539188694926,0.15030641213901128,0.1521781693587861,0.05212680172863698,24.93701202504337,24.88072508573532,0.47257313869267237,6.115731100261211,5.922315057367086,1.2736132110416227,31.056360505983232,30.95470731705427,1.2847154337394788,59.36412675040545,60.178069508916025,5.192947139449768,0.0,0.0,0.0,0,0.0,20,0.04,107,0.214,243,0.486,115.91828344813405
ours_no_robustvote,8,500,75.54493725997078,103.43194848103093,52.230659418755785,19.920549250318217,14.79414406402739,15.211876123617186,96.54739988020106,118.45003507779262,76.58821672270595,44.440700712267734,23.10360322459095,43.741550898482075,0.20813959862946646,0.20538423886441506,0.07012327055177414,27.42324847982824,27.40481998771429,0.4795020574757894,3.2167153903245924,3.158844541758299,0.5667329277195318,30.644107388049363,30.619238760322332,0.7710771996815629,59.36412675040545,60.178069508916025,5.192947139449768,0.0,0.0,0.0,4,0.008,111,0.222,185,0.37,298,0.596,117.4777243276446
ours_no_rsmrq,8,500,80.46497720106551,105.04358637432551,51.78530585933835,21.395198625889723,17.278891692935275,15.52652338754908,102.58364886903979,132.09519240928253,75.35879059445159,47.90274407398729,27.205768854280734,44.1998332302327,0.20495369554576603,0.20313264806656878,0.06956509555115756,22.319767554670573,22.320463325828314,0.48906348392947385,1.8857110504359007,1.8341397531330585,0.3007171459935333,24.209498677074908,24.1838491410017,0.5768842923572346,1.0,1.0,0.0,0.0,0.0,0.0,3,0.006,96,0.192,160,0.32,279,0.558,148.7019639695805
