method,total_tasks,success_count,failure_count,gt_ok,gt_fail,n_results,ADD_mean,ADD_median,ADD_std,ADD_S_mean,ADD_S_median,ADD_S_std,rotation_error_deg_mean,rotation_error_deg_median,rotation_error_deg_std,translation_error_mean,translation_error_median,translation_error_std,inlier_ratio_mean,inlier_ratio_median,inlier_ratio_std,model_build_time_mean,model_build_time_median,model_build_time_std,registration_time_mean,registration_time_median,registration_time_std,total_time_mean,total_time_median,total_time_std,candidate_inflation_mean_mean,candidate_inflation_mean_median,candidate_inflation_mean_std,kde_refine_calls_mean,kde_refine_calls_median,kde_refine_calls_std,ADD_S_lt_2_count,ADD_S_lt_2_rate,ADD_S_lt_5_count,ADD_S_lt_5_rate,ADD_S_lt_10_count,ADD_S_lt_10_rate,ADD_S_lt_20_count,ADD_S_lt_20_rate,throughput_cases_per_hour,estimated_group_cpu_hours_from_mean_total_time
baseline,4000,4000,0,4000,0,4000,81.50446037594001,79.07234924155952,74.92264096445997,22.672972935275585,17.459658058903777,68.10905592121661,123.8410015570663,140.46400491112115,52.58451014423285,48.1829522322029,41.105667602458816,74.56205820563792,0.131847630289376,0.12749257124586505,0.06728315384537212,6.030796831406653,3.9109566621482372,5.070288651739516,76.51805800088681,39.78176622837782,72.88610026825835,82.55106209090911,43.65803062915802,77.64724346867449,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,125,0.03125,745,0.18625,2331,0.58275,43.609372294150624,91.72340232323235
ours_no_rsmrq,4000,4000,0,4000,0,4000,57.919738792529216,56.3790521755589,76.9815015009203,13.96697148178744,8.109724285115544,67.3196672402375,98.6855899819096,116.64569308535727,69.70459509269031,26.784122546230137,15.15522055265599,73.20822203357626,0.22005238100874408,0.22017699115044248,0.09972334295492809,8.591003063414245,5.372974555939436,7.538090680603656,1.777884172702208,1.8006173558533192,0.4701981054654871,10.371464471040294,7.146450869739056,7.660496194978054,1.0,1.0,0.0,0.0,0.0,0.0,30,0.0075,1014,0.2535,2442,0.6105,3407,0.85175,347.1062365447131,11.523849412266992
ours_no_robustvote,4000,4000,0,4000,0,4000,52.67552551491378,49.85165526749364,74.06331532604025,12.23667326475134,6.4393012267034955,63.413217293475654,91.43006962543978,102.92865200439937,72.93487621447223,23.253082929535267,11.85834246832075,68.96987998340451,0.23579988827440615,0.23637230266193807,0.10701807302819562,10.5273734405227,6.627414915710688,9.128684905112937,2.3614897011537104,2.308746851980686,0.8532769120545826,12.891494295833633,9.034127615392208,9.709547365492575,33.877331391089,27.23630509333754,17.350040494522908,0.0,0.0,0.0,39,0.00975,1367,0.34175,2747,0.68675,3481,0.87025,279.25389542804777,14.323882550926259
ours_no_pose_pipeline,4000,4000,0,4000,0,4000,71.0966305713401,68.35723018844757,76.81281816227477,18.50970054505478,13.281027171462817,68.04250000919704,112.85453510961716,134.03810249345298,62.1630784950736,38.82479872768832,27.871983027723214,74.6161058371618,0.16006029436537933,0.1542127495833793,0.08116851602394987,9.70615240605548,6.1528674103319645,8.327678506344649,4.134096678685397,3.4374291114509106,2.164493479739304,13.842494715116919,9.860772982239723,9.963208663067519,33.877331391089,27.23630509333754,17.350040494522908,0.0,0.0,0.0,3,0.00075,323,0.08075,1390,0.3475,2861,0.71525,260.06872851239467,15.380549683463242
ours,4000,4000,0,4000,0,4000,52.24390592226434,49.46438251969774,74.12564936552737,12.212410343354259,6.336112220410557,63.423136985167766,90.54691423990603,101.03445849015421,73.12096531537816,23.164220658848446,11.647313168997044,68.97889347927457,0.2367689919819092,0.237851765476412,0.10748996314939134,10.369576099840923,6.541964240372181,9.002271100943283,4.950218414291739,4.304677318781614,2.347593127219845,15.322219814890996,10.95796288922429,10.737747612982453,33.877331391089,27.23630509333754,17.350040494522908,0.0,0.0,0.0,42,0.0105,1386,0.3465,2768,0.692,3480,0.87,234.95290130881148,17.02468868321222
