obj_id,method,ADD_S_mean,ADD_S_median,total_time_mean
1,Baseline,18.6570617610653,16.361108475066622,12.378808111563323
1,Ours w/o RS-MRQ,11.198005890018363,8.57100106615519,2.804090324401856
1,Ours w/o Robust Vote,9.69442677908912,7.224151492682333,3.189397814154625
1,Ours w/o Pose Pipeline,15.828627326009595,13.267673218253323,3.623392265185714
1,Ours,9.70058164882082,7.113507257923054,4.404430606663227
5,Baseline,16.36526995330099,14.421695996144065,162.3175835978091
5,Ours w/o RS-MRQ,8.742764130839442,7.138204274708097,19.700737906962637
5,Ours w/o Robust Vote,7.886044434469659,6.0055021078046265,24.325028428331017
5,Ours w/o Pose Pipeline,15.090097190421629,14.29046919262116,25.632422344878314
5,Ours,7.887381281654066,5.915263131574227,28.107409930050373
6,Baseline,22.5643752577031,20.35511973297173,34.20296059207618
6,Ours w/o RS-MRQ,13.868731678171024,9.587156176053783,5.698896863758564
6,Ours w/o Robust Vote,11.600168887298198,6.325169645792627,7.249675817027688
6,Ours w/o Pose Pipeline,18.55204565736222,17.16881338667011,8.068203628122806
6,Ours,11.605437104965375,6.335734475466274,9.134672120422126
8,Baseline,30.93280141762793,35.709241600750175,214.70443211576344
8,Ours w/o RS-MRQ,21.395198625889723,17.278891692935275,24.209498677074908
8,Ours w/o Robust Vote,19.920549250318217,14.79414406402739,30.644107388049363
8,Ours w/o Pose Pipeline,24.473651723645265,21.10964751413154,31.056360505983232
8,Ours,19.661183711583377,14.205481735698951,33.850457572311164
9,Baseline,16.692212445570476,14.391802036007256,22.159085497498516
9,Ours w/o RS-MRQ,8.85328049376208,5.86559109819104,3.963656260743737
9,Ours w/o Robust Vote,7.6519991411084,5.263978481595134,4.74837878280878
9,Ours w/o Pose Pipeline,12.13099539552294,8.946190537739987,5.496720679879188
9,Ours,7.554166105241243,5.178083730974668,6.251058921650052
10,Baseline,19.465373375537965,14.343196115482666,145.88448648025096
10,Ours w/o RS-MRQ,12.311960795405096,7.835354271267587,14.79509492379427
10,Ours w/o Robust Vote,10.923498771400764,6.332771689968148,18.539308403626084
10,Ours w/o Pose Pipeline,15.568055417878266,11.594980854950188,21.159025263369085
10,Ours,10.831609120910391,6.291924306273852,23.152832875654106
11,Baseline,35.269504362542854,17.172884722535994,18.89486425487697
11,Ours w/o RS-MRQ,27.25428242092999,7.313500827766253,3.748398244813085
11,Ours w/o Robust Vote,23.635832085427317,6.2474167910271206,4.343994556874037
11,Ours w/o Pose Pipeline,32.039000048298306,13.36207587108343,5.140531224295497
11,Ours,23.95665245191376,6.045869550958079,5.986790905341506
12,Baseline,21.43718490885607,20.79893799631761,49.86627607743442
12,Ours w/o RS-MRQ,8.111547819283807,7.42371993244768,8.051342566773295
12,Ours w/o Robust Vote,6.580866768899041,5.69576261607118,10.092063175797463
12,Ours w/o Pose Pipeline,14.395131601300006,11.078625760319213,10.563301809221509
12,Ours,6.502271321745057,5.648437365580056,11.690105587035417
