method,ADD_S_mean,ADD_S_median,ADD_S_lt_10_rate,ADD_S_lt_20_rate,total_time_mean_s,speedup_vs_baseline,delta_ADD_S_vs_baseline,delta_ADD_S_vs_ours
Baseline,22.672972935275585,17.459658058903777,0.18625,0.58275,82.55106209090911,1.0,0.0,10.460562591921324
Ours w/o RS-MRQ,13.96697148178744,8.109724285115544,0.6105,0.85175,10.371464471040294,7.959441245873443,-8.706001453488145,1.7545611384331785
Ours w/o Robust Vote,12.23667326475134,6.439301226703496,0.68675,0.87025,12.891494295833631,6.403529350169172,-10.436299670524244,0.02426292139707975
Ours w/o Pose Pipeline,18.50970054505478,13.281027171462815,0.3475,0.71525,13.84249471511692,5.963597154258466,-4.163272390220804,6.29729020170052
Ours,12.21241034335426,6.336112220410557,0.692,0.87,15.322219814890996,5.387669873439705,-10.460562591921324,0.0
